name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020lgq 232.74575958492446 14.250046323382554 232.7457247 14.2501019 232.7457560 14.2500920 0.2341262 True 0.1649109 True 0.1148036 True
2020lgr 225.13176597926366 39.55364893456099 225.1309001 39.5539257 225.1309741 39.5539039 2.6019419 False 2.3818971 False 0.2201421 True
2020lgy 210.07723896100072 33.81406888239727 210.0778197 33.8141232 210.0777751 33.8141620 1.7481150 True 1.6382632 True 0.1933599 True
2020lht 184.315847219827 5.201129105538955 184.3162084 5.2016526 184.3161020 5.2016054 2.2864994 False 1.9428407 True 0.4174816 True
2020lhw 317.946426285597 10.6153872046392 317.9473338 10.6159114 317.9470000 10.6159100 3.7245334 False 2.7682406 False 1.1811226 True
2020lhx 142.64078393511 -15.428755314604 142.6393394 -15.4297206 142.6393252 -15.4297167 6.0994300 False 6.1322508 False 0.0515513 True
2020lhy 187.368784135876 11.1964438623369 187.3688638 11.1965391 187.3688426 11.1965536 0.4436068 True 0.4458609 True 0.0913992 True
2020lhz 195.637387010189 21.8388187271986 195.6359420 21.8396977 -99.0000000 -99.0000000 5.7729633 False -99.0000000 False -99.0000000 False
2020lib 194.0047930972164 -1.769824031571447 194.0050359 -1.7683379 194.0062083 -1.7717500 5.4209874 False 8.6025997 False 12.9877993 False
2020lis 333.761592510052 6.05595048660607 333.7607864 6.0564010 333.7608950 6.0563390 3.3102245 False 2.8620510 False 0.4481949 True
2020lkr 219.464027554328 39.1730790206491 219.4640320 39.1730741 219.4640040 39.1730786 0.0217023 True 0.0656958 True 0.0798221 True
2020lks 209.6726558987261 30.656104882943843 209.6725571 30.6564456 209.6725254 30.6564275 1.2639696 True 1.2298297 True 0.1178584 True
